,carName,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage
0,Toyota Tundra,2020,SR5 CrewMax 5.5' Bed 5.7L 4WD,"$46,996","25,722",San Antonio, TX,Gray,Gray,No accidents,1,Personal
1,Chevrolet Malibu,2019,LS with 1LS,"$17,399","32,383",Norco, CA,Silver,Black,No accidents,3,Fleet
2,Toyota Land Cruiser,2002,4WD,"$13,885","250,979",Wilmington, CA,Silver,Unknown,No accidents,3,Personal
3,Nissan Rogue,2018,SV AWD,"$18,992","67,425",Wappingers Falls, NY,White,Black,No accidents,1,Personal
4,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$33,670","33,988",Blackfoot, ID,White,Gray,No accidents,1,Personal
5,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$34,142","47,922",Pikeville, KY,Black,Black,No accidents,4,Personal
6,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$37,782","28,833",Colorado Springs, CO,Black,Unknown,No accidents,1,Fleet
7,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$32,500","20,152",Kansas City, MO,White,Gray,No accidents,1,Personal
8,Nissan Versa,2019,SV Sedan CVT,"$13,410","54,055",Orlando, FL,Red,Black,No accidents,1,Fleet
9,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$25,355","154,670",Dublin, GA,White,Gray,No accidents,1,Personal
10,Ford F-150,2019,XLT SuperCrew 5.5' Box 4WD,"$27,900","143,930",Albuquerque, NM,White,Unknown,No accidents,1,Personal
11,GMC Sierra 1500,2018,SLT Crew Cab Short Box 4WD,"$42,999","34,421",San Angelo, TX,White,Black,No accidents,3,Personal
12,Chevrolet Malibu,2018,LT with 1LT,"$17,995","47,430",Fresno, CA,Silver,Black,No accidents,2,Fleet
13,Toyota Corolla,2020,LE CVT,"$21,975","20,137",Jacksonville, FL,White,Beige,No accidents,2,Personal
14,Ford Fusion,2016,SE FWD,"$12,700","81,492",Lubbock, TX,Black,Black,No accidents,2,Fleet
15,Toyota Corolla,2020,LE CVT,"$19,935","35,454",Miami, FL,White,Black,No accidents,1,Personal
16,Mercedes-Benz C-Class,2018,C 300 Sedan RWD,"$32,591","31,402",Bakersfield, CA,White,Black,No accidents,1,Personal
17,Mercedes-Benz C-Class,2018,C 300 Sedan RWD,"$31,617","20,001",Sacramento, CA,White,Beige,1 accident,2,Personal
18,Ford F-150,2019,XLT SuperCrew 5.5' Box 4WD,"$30,500","45,891",Lindon, UT,Silver,Gray,No accidents,1,Personal
19,Chevrolet Silverado 1500,2019,LTZ Crew Cab Short Box 4WD,"$45,000","23,275",Cincinnati, OH,Black,Black,No accidents,1,Personal
20,Mercedes-Benz C-Class,2018,C 300 Sedan RWD,"$31,650","27,626",Fremont, CA,White,Black,1 accident,1,Personal
