,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
0,Toyota 4Runner,Toyota,2017,SR5 4WD,33987,46375,Columbus, OH,Silver,Black,1,2,Personal,14:00:54,"2021,11,04"
1,BMW X3,BMW,2019,xDrive30i AWD,41499,16816,Tracy, CA,White,Black,0,1,Personal,14:00:54,"2021,11,04"
2,Nissan Titan,Nissan,2021,PRO-4X Crew Cab 4WD,53999,19,Boise, ID,Red,Black,0,1,Personal,14:00:54,"2021,11,04"
9963,Toyota RAV4,Toyota,2019,XLE FWD,30499,42270,Statesville, NC,Silver,Black,0,2,Personal,15:13:32,"2021,11,04"
9964,Audi S5,Audi,2019,Premium Sportback,44495,24554,Exton, PA,Gray,Gray,1,1,Personal,15:13:32,"2021,11,04"
9965,Nissan Sentra,Nissan,2017,SV CVT,18590,13440,Blue Mound, TX,Blue,Gray,0,1,Personal,15:13:32,"2021,11,04"
9966,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,23999,154670,Dublin, GA,White,Gray,0,1,Personal,15:13:32,"2021,11,04"
9967,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,33670,33988,Blackfoot, ID,White,Gray,0,1,Personal,15:13:32,"2021,11,04"
9968,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,34142,47922,Pikeville, KY,Black,Black,0,4,Personal,15:13:32,"2021,11,04"
9969,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,37782,28833,Colorado Springs, CO,Black,Unknown,0,1,Fleet,15:13:32,"2021,11,04"
9970,Nissan Versa,Nissan,2019,SV Sedan CVT,13410,54055,Orlando, FL,Red,Black,0,1,Fleet,15:13:32,"2021,11,04"
9971,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,25995,181984,Houston, TX,Blue,Gray,0,1,Personal,15:13:32,"2021,11,04"
9972,Mercedes-Benz GLC,Mercedes-Benz,2018,GLC 300 4MATIC SUV,35903,37664,Sacramento, CA,White,Brown,1,2,Personal,15:13:32,"2021,11,04"
9973,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,17995,47430,Fresno, CA,Silver,Black,0,2,Fleet,15:13:32,"2021,11,04"
