,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
0,Toyota Camry,Toyota,2016,LE I4 Automatic,20990,19608,Blue Mound, TX,Silver,Unknown,0,2,Personal,01:42:39,"2021,11,12"
1,Kia Soul,Kia,2016,+ Automatic,16999,29737,Tracy, CA,Gray,Gray,0,2,Personal,01:42:39,"2021,11,12"
2,Chevrolet Silverado 2500HD,Chevrolet,2019,LT Crew Cab Standard Box 4WD,54999,35649,Miami, FL,White,Black,0,1,Fleet,01:42:39,"2021,11,12"
3,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,23999,155246,Dublin, GA,White,Gray,0,1,Personal,01:42:39,"2021,11,12"
4,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,33670,33988,Blackfoot, ID,White,Gray,0,1,Personal,01:42:39,"2021,11,12"
5,Toyota Corolla,Toyota,2020,LE CVT,17999,32478,Newport Beach, CA,Gray,Black,1,1,Fleet,01:42:39,"2021,11,12"
6,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,34142,47922,Pikeville, KY,Black,Black,0,4,Personal,01:42:39,"2021,11,12"
7,Toyota Tacoma,Toyota,2019,TRD Pro Double Cab 5' Bed V6 4WD Automatic,40457,26582,Fort Pierce, FL,White,Unknown,0,1,Personal,01:42:39,"2021,11,12"
8,Nissan Altima,Nissan,2015,2.5 S,10995,92366,Tempe, AZ,White,Black,1,2,Fleet,01:42:39,"2021,11,12"
9,Toyota Corolla,Toyota,2016,LE CVT,9995,111937,Tomball, TX,Black,Unknown,1,1,Personal,01:42:39,"2021,11,12"
10,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,16499,104072,San Angelo, TX,Black,Black,0,2,Fleet,01:42:39,"2021,11,12"
11,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,37782,28833,Colorado Springs, CO,Black,Unknown,0,1,Fleet,01:42:39,"2021,11,12"
12,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 4WD,23987,143520,Dublin, GA,White,Gray,0,1,Personal,01:42:39,"2021,11,12"
13,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 2WD,20488,178259,Pasadena, TX,White,Gray,0,1,Personal,01:42:39,"2021,11,12"
14,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,30500,45891,Lindon, UT,Silver,Gray,0,1,Personal,01:42:39,"2021,11,12"
15,Nissan Rogue,Nissan,2019,SV FWD,17990,55453,Blue Mound, TX,Black,Black,0,2,Personal,01:42:39,"2021,11,12"
16,Jeep Grand Cherokee,Jeep,2018,Limited 4WD,24595,67295,Hillside, NJ,Gray,Black,0,1,Personal,01:42:39,"2021,11,12"
17,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,25995,181984,Houston, TX,Blue,Gray,0,1,Personal,01:42:39,"2021,11,12"
18,Nissan Sentra,Nissan,2019,SV CVT,12850,40000,Los Angeles, CA,Gray,Black,2,1,Fleet,01:42:39,"2021,11,12"
19,Volkswagen Jetta,Volkswagen,2019,S Automatic,15995,33000,Euless, TX,White,Black,0,1,Personal,01:42:39,"2021,11,12"
20,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,28495,110104,Brownsville, TN,Blue,Unknown,0,3,Fleet,01:42:39,"2021,11,12"
21,Ford F-150,Ford,2017,Lariat SuperCrew 5.5' Box RWD,23377,218568,Fayetteville, NC,White,Beige,0,1,Personal,01:42:39,"2021,11,12"
22,Nissan Sentra,Nissan,2019,S CVT,11985,83384,Duluth, GA,Black,Black,0,1,Fleet,01:42:39,"2021,11,12"
23,Hyundai Elantra,Hyundai,2020,SEL 2.0L IVT,18495,42087,El Paso, TX,Black,Black,0,2,Fleet,01:42:39,"2021,11,12"
24,Nissan Rogue,Nissan,2016,S FWD,12000,80599,Houston, TX,Black,Black,0,2,Personal,01:42:39,"2021,11,12"
25,Ford Escape,Ford,2020,SE FWD,21495,17814,San Antonio, TX,Black,Unknown,1,1,Personal,01:42:39,"2021,11,12"
26,Toyota Corolla,Toyota,2020,LE CVT,18400,52265,Live Oak, TX,White,Black,0,1,Personal,01:42:39,"2021,11,12"
27,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,31660,66917,Denton, TX,Silver,Gray,1,2,Personal,01:42:39,"2021,11,12"
28,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,34495,41895,El Paso, TX,Silver,Unknown,0,1,Personal,01:42:39,"2021,11,12"
29,Chevrolet Silverado 1500,Chevrolet,2018,LT Crew Cab Short Box 4WD,24999,104319,Smyrna, GA,White,Brown,0,2,Fleet,01:42:39,"2021,11,12"
30,Ford Super Duty F-250,Ford,2019,XL 2WD Reg Cab 8' Box,25997,79091,San Antonio, TX,White,Unknown,0,2,Personal,01:42:39,"2021,11,12"
31,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,32539,61682,Manning, SC,Gray,Gray,0,1,Personal,01:42:39,"2021,11,12"
