,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
0,Chevrolet Corvette,Chevrolet,2015,Stingray Z51 with 2LT Coupe,"52,999","15,775",Fontana, CA,Black,Black,0,1,Personal,22:45:41,"2021,11,01"
1,Mercedes-Benz GLE,Mercedes-Benz,2018,GLE 350 4MATIC SUV,"34,995","52,121",Bronx, NY,Black,Unknown,1,2,Personal,22:45:41,"2021,11,01"
2,Toyota Prius,Toyota,2015,Two,"17,590","79,508",Blue Mound, TX,Silver,Gray,0,2,Personal,22:45:41,"2021,11,01"
9963,Chevrolet Equinox,Chevrolet,2019,LT with 1LT AWD,"23,999","25,546",Stafford, TX,White,Black,0,1,Personal,00:02:05,"2021,11,02"
9964,Mercedes-Benz CLA,Mercedes-Benz,2014,CLA 250 FWD,"20,590","82,388",Blue Mound, TX,White,Black,0,1,Personal,00:02:05,"2021,11,02"
9965,Ford F-150,Ford,2018,Lariat SuperCrew 5.5' Box 4WD,"36,999","73,036",Trooper, PA,Red,Unknown,0,3,Fleet,00:02:05,"2021,11,02"
9966,Nissan Rogue,Nissan,2018,SV AWD,"18,992","67,425",Wappingers Falls, NY,White,Black,0,1,Personal,00:02:05,"2021,11,02"
9967,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"33,670","33,988",Blackfoot, ID,White,Gray,0,1,Personal,00:02:05,"2021,11,02"
9968,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"34,142","47,922",Pikeville, KY,Black,Black,0,4,Personal,00:02:05,"2021,11,02"
9969,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"37,782","28,833",Colorado Springs, CO,Black,Unknown,0,1,Fleet,00:02:05,"2021,11,02"
9970,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"32,500","20,152",Kansas City, MO,White,Gray,0,1,Personal,00:02:05,"2021,11,02"
9971,Nissan Versa,Nissan,2019,SV Sedan CVT,"13,410","54,055",Orlando, FL,Red,Black,0,1,Fleet,00:02:05,"2021,11,02"
9972,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"25,355","154,670",Dublin, GA,White,Gray,0,1,Personal,00:02:05,"2021,11,02"
9973,GMC Sierra 1500,GMC,2018,SLT Crew Cab Short Box 4WD,"42,999","34,421",San Angelo, TX,White,Black,0,3,Personal,00:02:05,"2021,11,02"
9974,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,"17,995","47,430",Fresno, CA,Silver,Black,0,2,Fleet,00:02:05,"2021,11,02"
9975,Ford Fusion,Ford,2016,SE FWD,"12,700","81,492",Lubbock, TX,Black,Black,0,2,Fleet,00:02:05,"2021,11,02"
9976,Kia Sorento,Kia,2020,LX V6 AWD,"21,999","53,199",Sarasota, FL,Black,Black,0,1,Personal,00:02:05,"2021,11,02"
9977,Toyota Corolla,Toyota,2020,LE CVT,"19,935","35,454",Miami, FL,White,Black,0,1,Personal,00:02:05,"2021,11,02"
9978,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"32,591","31,402",Bakersfield, CA,White,Black,0,1,Personal,00:02:05,"2021,11,02"
9979,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"31,617","20,001",Sacramento, CA,White,Beige,1,2,Personal,00:02:05,"2021,11,02"
9980,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,"30,500","45,891",Lindon, UT,Silver,Gray,0,1,Personal,00:02:05,"2021,11,02"
9981,Chevrolet Silverado 1500,Chevrolet,2019,LTZ Crew Cab Short Box 4WD,"45,000","23,275",Cincinnati, OH,Black,Black,0,1,Personal,00:02:05,"2021,11,02"
9982,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"31,650","27,626",Fremont, CA,White,Black,1,1,Personal,00:02:05,"2021,11,02"
9983,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 2WD,"29,495","37,865",Tomball, TX,White,Unknown,0,2,Personal,00:02:05,"2021,11,02"
9984,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"27,824","184,570",Mooresville, IN,Black,Gray,0,1,Personal,00:02:05,"2021,11,02"
9985,Nissan Sentra,Nissan,2019,SV CVT,"12,850","40,000",Los Angeles, CA,Gray,Black,2,1,Fleet,00:02:05,"2021,11,02"
9986,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"31,660","66,917",Denton, TX,Silver,Gray,1,2,Personal,00:02:05,"2021,11,02"
9987,Ford F-150,Ford,2014,XLT SuperCrew 5.5' Box RWD,"10,985","246,478",Fort Myers, FL,White,Gray,1,1,Personal,00:02:05,"2021,11,02"
9988,Toyota Tacoma,Toyota,2019,TRD Pro Double Cab 5' Bed V6 4WD Manual,"40,457","26,582",Fort Pierce, FL,White,Unknown,0,1,Personal,00:02:05,"2021,11,02"
9989,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"27,757","125,661",Springfield, VA,White,Black,2,1,Personal,00:02:05,"2021,11,02"
9990,Ford Fusion,Ford,2016,SE FWD,"9,988","98,503",Van Nuys, CA,Black,Black,1,5,Fleet,00:02:05,"2021,11,02"
9991,Ford Fusion,Ford,2016,SE FWD,"9,995","117,354",Rancho Cordova, CA,White,Black,0,3,Fleet,00:02:05,"2021,11,02"
9992,Jeep Compass,Jeep,2018,Latitude 4WD,"18,900","83,954",Harrisburg, PA,Black,Black,0,1,Personal,00:02:05,"2021,11,02"
9993,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"34,495","41,895",El Paso, TX,Silver,Unknown,0,1,Personal,00:02:05,"2021,11,02"
9994,Toyota Corolla,Toyota,2020,LE CVT,"18,425","52,265",Live Oak, TX,White,Black,0,1,Personal,00:02:05,"2021,11,02"
9995,Ford Super Duty F-250,Ford,2017,King Ranch Crew Cab 6.75' Bed 4WD,"44,461","127,131",Columbus, TX,White,Brown,0,2,Personal,00:02:05,"2021,11,02"
9996,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"28,441","34,610",Citrus Heights, CA,White,Unknown,0,3,Personal,00:02:08,"2021,11,02"
