,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
0,Toyota Camry,Toyota,2016,LE I4 Automatic,20990,19608,Blue Mound, TX,Silver,Unknown,0,2,Personal,01:42:39,"2021,11,12"
1,Kia Soul,Kia,2016,+ Automatic,16999,29737,Tracy, CA,Gray,Gray,0,2,Personal,01:42:39,"2021,11,12"
2,Chevrolet Silverado 2500HD,Chevrolet,2019,LT Crew Cab Standard Box 4WD,54999,35649,Miami, FL,White,Black,0,1,Fleet,01:42:39,"2021,11,12"
63,Ram 2500,Ram,2020,"Limited Crew Cab 6'4"" Box 4WD",64573,13626,Phoenix, AZ,Black,Black,0,1,Fleet,01:42:54,"2021,11,12"
64,Honda Civic,Honda,2018,EX-L Sedan CVT,23499,24637,Stafford, TX,White,Unknown,0,1,Personal,01:42:54,"2021,11,12"
65,Ford Expedition,Ford,2019,XLT RWD,44980,35368,Killeen, TX,White,Black,0,1,Personal,01:42:54,"2021,11,12"
66,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,23999,155246,Dublin, GA,White,Gray,0,1,Personal,01:42:54,"2021,11,12"
67,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,33670,33988,Blackfoot, ID,White,Gray,0,1,Personal,01:42:54,"2021,11,12"
68,Toyota Corolla,Toyota,2020,LE CVT,17999,32478,Newport Beach, CA,Gray,Black,1,1,Fleet,01:42:54,"2021,11,12"
69,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,34142,47922,Pikeville, KY,Black,Black,0,4,Personal,01:42:54,"2021,11,12"
70,Toyota Tacoma,Toyota,2019,TRD Pro Double Cab 5' Bed V6 4WD Automatic,40457,26582,Fort Pierce, FL,White,Unknown,0,1,Personal,01:42:54,"2021,11,12"
71,Nissan Altima,Nissan,2015,2.5 S,10995,92366,Tempe, AZ,White,Black,1,2,Fleet,01:42:54,"2021,11,12"
72,Toyota Corolla,Toyota,2016,LE CVT,9995,111937,Tomball, TX,Black,Unknown,1,1,Personal,01:42:54,"2021,11,12"
73,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,16499,104072,San Angelo, TX,Black,Black,0,2,Fleet,01:42:54,"2021,11,12"
74,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,37782,28833,Colorado Springs, CO,Black,Unknown,0,1,Fleet,01:42:54,"2021,11,12"
75,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 4WD,23987,143520,Dublin, GA,White,Gray,0,1,Personal,01:42:54,"2021,11,12"
76,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 2WD,20488,178259,Pasadena, TX,White,Gray,0,1,Personal,01:42:54,"2021,11,12"
77,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,30500,45891,Lindon, UT,Silver,Gray,0,1,Personal,01:42:54,"2021,11,12"
78,Nissan Rogue,Nissan,2019,SV FWD,17990,55453,Blue Mound, TX,Black,Black,0,2,Personal,01:42:54,"2021,11,12"
79,Jeep Grand Cherokee,Jeep,2018,Limited 4WD,24595,67295,Hillside, NJ,Gray,Black,0,1,Personal,01:42:54,"2021,11,12"
80,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,25995,181984,Houston, TX,Blue,Gray,0,1,Personal,01:42:54,"2021,11,12"
81,Nissan Sentra,Nissan,2019,SV CVT,12850,40000,Los Angeles, CA,Gray,Black,2,1,Fleet,01:42:54,"2021,11,12"
82,Volkswagen Jetta,Volkswagen,2019,S Automatic,15995,33000,Euless, TX,White,Black,0,1,Personal,01:42:54,"2021,11,12"
83,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,28495,110104,Brownsville, TN,Blue,Unknown,0,3,Fleet,01:42:54,"2021,11,12"
84,Ford F-150,Ford,2017,Lariat SuperCrew 5.5' Box RWD,23377,218568,Fayetteville, NC,White,Beige,0,1,Personal,01:42:54,"2021,11,12"
85,Nissan Sentra,Nissan,2019,S CVT,11985,83384,Duluth, GA,Black,Black,0,1,Fleet,01:42:54,"2021,11,12"
86,Hyundai Elantra,Hyundai,2020,SEL 2.0L IVT,18495,42087,El Paso, TX,Black,Black,0,2,Fleet,01:42:54,"2021,11,12"
87,Nissan Rogue,Nissan,2016,S FWD,12000,80599,Houston, TX,Black,Black,0,2,Personal,01:42:54,"2021,11,12"
88,Ford Escape,Ford,2020,SE FWD,21495,17814,San Antonio, TX,Black,Unknown,1,1,Personal,01:42:54,"2021,11,12"
89,Toyota Corolla,Toyota,2020,LE CVT,18400,52265,Live Oak, TX,White,Black,0,1,Personal,01:42:54,"2021,11,12"
90,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,31660,66917,Denton, TX,Silver,Gray,1,2,Personal,01:42:54,"2021,11,12"
91,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,34495,41895,El Paso, TX,Silver,Unknown,0,1,Personal,01:42:54,"2021,11,12"
